fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:29:16 AM
VariableInfo
Name:	oxygraph29.Marker1
Size:	11 x 2
Type:	Numeric
Content:	Marker
Date:	12/18/2023 11:29:05 AM
Notes:	Marker saved by Oxygraph from files C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2034K\ANETTE_2034K_1_12130816.oxy, C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2034K\ANETTE_2034K_1_12130816_C.mrk
Labels:	MARKER
VariableData
Marker	Marker
MarkerTime	MarkerType
60.779	-5
78.858	101
176.858	101
263.08	102
319.895	103
383.388	104
459.079	105
559.404	106
641.507	107
994.444	108
997.759	-1
