fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:00:36 PM
VariableInfo
Name:	oxygraph4.Marker1
Size:	11 x 2
Type:	Numeric
Content:	Marker
Date:	12/18/2023 12:00:25 PM
Notes:	Marker saved by Oxygraph from files C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0003p_group1_R\FILIPPA_0003p_1_01181508.oxy, C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0003p_group1_R\FILIPPA_0003p_1_01181508_C.mrk
Labels:	MARKER
VariableData
Marker	Marker
MarkerTime	MarkerType
126.619	-5
132.898	101
206.405	101
325.465	102
390.861	103
479.454	104
567.688	105
678.885	106
797.945	107
1158.823	108
1164.411	-1
